title	importance
Christina Kendziorski	low
PHI-base	low
Ontology for Biomedical Investigations	low
SMART (database)	low
EButterfly	low
FASTA format	high
Bioinformatic Harvester	low
Generic Model Organism Database	high
RasMol	mid
Dendroscope	low
Eugene Myers	low
UGENE	low
Dryad (repository)	low
Recode (database)	low
MyGrid	low
Soren Brunak	low
TIGR plant repeat database	low
Locus Reference Genomic	low
List of alignment visualization software	mid
Truncation selection	low
Chromosome (genetic algorithm)	low
Ludmil Alexandrov	low
Sandrine Dudoit	low
Batch effect	low
BEAST 2	low
IMGT	unknown
RDock	low
DNA barcoding in diet assessment	low
International Conference on Applications and Theory of Petri Nets and Concurrency	low
Fungal DNA barcoding	low
Janet Kelso	low
Jay Shendure	low
ESyPred3D	low
Metabolome	high
EggNOG (database)	low
CharProtDB	low
List of systems biology conferences	low
HLA Informatics Group	low
Michal Linial	low
Protein pKa calculations	low
Indel	low
Sequence database	mid
TreeFam	low
Bovine genome database	low
Stephen Oliver (scientist)	low
Phospho3D	low
Sulston score	low
RetrOryza	low
Bio2RDF	low
CancerResource	low
Biomolecular Object Network Databank	low
CLIP-Seq	mid
Jerzy Jurka	low
Nextbio	low
BioPAX	mid
Søren Brunak	low
GeneDB	low
Database for bacterial group II introns	low
Center for Molecular and Biomolecular Informatics	low
The Arabidopsis Information Resource	low
Instability index	low
Multi-state modeling of biomolecules	mid
Carl Bergstrom	low
International Mouse Phenotyping Consortium	low
Hilary Finucane	unknown
Genome Taxonomy Database	low
Terry Gaasterland	mid
Summation theorems (biochemistry)	mid
ISCB Innovator Award	low
Mihajlo D. Mesarovic	mid
Genetic fuzzy systems	low
MiRNEST	low
Peer Bork	low
GENSCAN	mid
Global distance test	low
IGRhCellID	low
Transient receptor potential channel-interacting protein database	low
Altenberg Workshops in Theoretical Biology	low
Anders Krogh	mid
Patricia Grambsch	unknown
Lattice model (biophysics)	low
LSID	low
SOSUI	low
HYPHY (software)	low
Inparanoid	low
TassDB	low
TIGR plant transcript assembly database	low
Mark Borodovsky	mid
KiSAO	low
David Sankoff	low
Alfonso Valencia	mid
Peter Schuster	low
Computational phylogenetics	high
Accession number (bioinformatics)	low
FlyBase	mid
MA plot	low
BioMOBY	mid
Ion semiconductor sequencing	low
Human Protein Atlas	low
List of disorder prediction software	low
List of gene prediction software	mid
NucleaRDB	low
TRNADB	low
RA plot	low
FreeSurfer	mid
Conformational dynamics data bank	low
COMBINE	mid
Curtis Huttenhower	low
OpenAPS	low
SBML	high
Michael Waterman	low
RECOrd (Local Biological Records Centre)	low
Xenbase	low
Mapper(2)	low
Protein fragment library	mid
Bioinformatics discovery of non-coding RNAs	unknown
Illumina dye sequencing	mid
Protein contact map	mid
STRING	low
Sequence analysis	top
Genome size	mid
UniProt	high
LiveBench	low
Pfam	high
Empire (program)	low
Dot plot (bioinformatics)	mid
SplitsTree	low
International Nucleotide Sequence Database Collaboration	mid
GenoCAD	low
AntWeb	low
Adaptive sampling	low
WeNMR	low
Centre for Plant Integrative Biology	low
Arlequin (software)	low
CodonCode Aligner	low
DBTSS	low
Russ Altman	mid
PhylomeDB	low
Stem cell lineage database	low
Brix (database)	low
ABCD Schema	low
Jalview	low
Xiaole Shirley Liu	mid
Little b (programming language)	low
Biocuration	high
Hydrophobic-polar protein folding model	low
BED (file format)	low
ADMIXTOOLS	low
Metascape	low
International Conference on Bioinformatics	low
Narayanaswamy Srinivasan	low
ChIP-on-chip	low
Philippine Genome Center	low
Protein Information Resource	low
Halbert L. Dunn	low
Loop modeling	mid
Horizontal correlation	low
Genostar	low
Rita Casadio	mid
Tabix	low
TIGRFAMs	low
ProGlycProt	low
DOCK	low
BIOSCI	low
Integrated Biosphere Simulator	low
AceDB	low
SAMtools	low
Ziv Bar-Joseph	low
List of protein tandem repeat annotation software	mid
Fish DNA barcoding	low
Basel Computational Biology Conference	low
Phylogenetic inference using transcriptomic data	low
NUPACK	low
TREC Genomics	low
Xrate	low
Darwin Core	low
List of sequenced archaeal genomes	low
PDBWiki	low
Stockholm format	low
BRENDA tissue ontology	low
UCSF Chimera	low
Autophagy database	low
DIALIGN-T	low
Fast statistical alignment	low
Proteomics Identifications Database	high
List of bioinformatics institutions	mid
Global Species Database	low
SED-ML	mid
VIRsiRNAdb	low
NONCODE	low
ScerTF	low
Phylogenetic Assignment of Named Global Outbreak Lineages	low
Solid phase sequencing	mid
LacED	low
Dan Gusfield	low
David Goodsell	low
National Institute of Biomedical Genomics	mid
Protein tandem repeats	mid
Contigs	unknown
PSORT	mid
GOR method	mid
Bioinformatics workflow management systems	mid
Masaru Tomita	low
Critical Assessment of Function Annotation	low
YeTFaSCo	low
SitEx	low
Pileup format	low
Cole Trapnell	mid
Hybrid genome assembly	mid
International Society for Biocuration	low
Marie Davidian	low
PyMOL	low
EMBOSS	mid
BRENDA	mid
Polytomy	low
ZooBank	low
List of systems biology visualization software	low
Polymorphic simple sequence repeats database	low
REDfly	low
Phrap	mid
WHAT IF software	low
John Quackenbush	low
L1Base	low
ASD (database)	low
Strbase	low
Marco Ramoni	low
GFP-cDNA	low
ArrayTrack	low
Toroid repeat proteins	low
Tip dating	low
Ben Langmead	low
Evolution@Home	low
Sequence clustering	mid
Perturbation (biology)	low
Digital phenotyping	low
Sequence Ontology	mid
Canadian Bioinformatics Workshops	low
Patrocladogram	low
Science for Life Laboratory	low
Carlos Martínez Alonso	low
Nucleic acid structure prediction	mid
Phylogenetic profiling	low
Alex Bateman	low
Michael Gribskov	mid
Compendium of protein lysine acetylation	low
Maximum clade credibility tree	low
Yeastract	low
WAVe	low
Simulated growth of plants	low
Biosimulation	mid
PATRIC	low
MUMmer	low
Transpogene	low
Split (phylogenetics)	low
Fossilworks	low
BacMet	low
Toxin-antitoxin database	low
Eugene Koonin	low
Wilfrid Rall	mid
Sequerome	low
Conserved sequence	high
Edward Marcotte	low
Phylogenetic comparative methods	mid
BioJava	high
MEGAN	high
WPGMA	low
Steven Salzberg	low
Clustal	mid
GDB Human Genome Database	low
Partner Institute for Computational Biology	low
Vienna Series in Theoretical Biology	low
Julian Gough (scientist)	low
Chemical library	low
Proteins@home	low
GENESIS (software)	low
Gonçalo Abecasis	low
Atlas of Living Australia	low
Mei-Ling Ting Lee	low
Critical Assessment of Prediction of Interactions	mid
SCHEMA (bioinformatics)	low
Julio Collado-Vides	low
Consed	low
GEN2PHEN	low
SuperSweet	low
Minimum information standard	mid
William Pearson (scientist)	mid
Itsik Pe'er	low
Nussinov algorithm	low
Olivier Gascuel	low
Jim Kent	low
Knowledge engineering	low
Kim-Anh Do	low
Christophe Dessimoz	mid
Nurcan Tunçbağ	low
Intercollegiate Biomathematics Alliance	low
South African National Bioinformatics Institute	low
Binary Alignment Map	mid
Eileen Furlong	low
Isomorphic Labs	low
CLIPZ	low
UniGene	low
PlasmoDB	low
UTRome	low
Glycoinformatics	low
Alzheimer's Disease Neuroimaging Initiative	low
AlleleID	low
ProbCons	low
SCRIPDB	low
Human Proteome Organization	low
Treefinder	low
Ervin Bauer	low
Genome survey sequence	low
Biological theory	na
Jill P. Mesirov	low
INSACOG	high
David J. Lipman	low
Fiocruz Genome Comparison Project	low
InterPro	high
Cristen Willer	unknown
Biobank	high
Bellerophon program	low
Hypothetical protein	low
Homology modeling	high
Tournament selection	low
Biositemap	low
GenePattern	low
Center for Computational Biology	low
CIT Program Tumor Identity Cards	low
Darwin Core Archive	low
CaSNP	low
VectorBase	mid
Nir Friedman	low
Mathieu Blanchette (computational biologist)	low
Anne E. Carpenter	low
Mikhail Gelfand	mid
CellML	high
SPAdes (software)	low
PSI Protein Classifier	low
DNA sequencing theory	high
Interactomics	mid
Ensembl Genomes	mid
Deanna M. Church	low
HMMER	high
ResFinder	low
Low complexity regions in proteins	mid
BioPHP	low
Contig	high
Phylogenetic footprinting	mid
Gene family	high
Metallome	low
AREsite	low
Saccharomyces Genome Database	high
Steven E. Brenner	low
PSORTdb	mid
Newbler	low
Peroxiredoxin classification index	low
KaPPA-View4	low
Quartet distance	low
Software for protein structure visualization	low
COSMIC cancer database	low
Iran Bioinformatics Center	low
DIALIGN-TX	low
Nexus file	low
Ming Li	mid
Ruth Dayhoff	low
List of sequenced animal genomes	mid
Friuli innovazione	low
Hiroaki Kitano	mid
